"Year of initiation","Short case name","Applicable IIA","Arbitral rules","Administering institution","Summary","Details of investment","Outcome of original proceedings","Respondent State","Respondent HDI","Home State of investor","Claimant HDI","Economic sector","Economic subsector","Arbitrators","Amount claimed","Amount awarded (or settled for)","Breaches alleged","Breaches found","Decisions","Individual opinions","Follow-on proceeding type","Follow-on proceeding status","Follow-on decisions","Follow-on individual opinions","ICSID annulment committee members","aPresidentC","aRespondentC","aClaimantC"
2019,"Alcosa v. Kuwait","Kuwait - Spain BIT (2005)","UNCITRAL","PCA","Investment: Investments in Public Services Company (PSC), a local entity providing health insurance services.                        Summary: Claims arising out of the Governmentƒ??s termination of certain health services contracts between the Ministry of Health and local entity PSC in which the claimants allegedly invested following the entityƒ??s privatization in 2017.","Investments in Public Services Company (PSC), a local entity providing health insurance services.","Pending","Kuwait","0.803","Spain","0.891","Tertiary: K - Financial and insurance activities","66 - Activities auxiliary to financial service and insurance activities","Data not available","800.00","Null","Data not available","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2019,"Axiata and Ncell v. Nepal","Nepal - United Kingdom BIT (1993)","ICSID","ICSID","Investment: Shareholding of 100% in Reynolds Holding Limited which has an 80% stake in Ncell Private Limited, a mobile network operator in Nepal.                        Summary: Claims arising out of the Governmentƒ??s imposition of a capital gains tax on Axiataƒ??s acquisition of Reynolds Holding Limited from TeliaSonera in 2016, levied on Axiataƒ??s subsidiary Ncell.","Shareholding of 100% in Reynolds Holding Limited which has an 80% stake in Ncell Private Limited, a mobile network operator in Nepal.","Pending","Nepal","0.574","United Kingdom","0.922","Tertiary: J - Information and communication","61 - Telecommunications","Name not available - Presidentvan den Berg, A. J. - ClaimantName not available - Respondent","348.00","Null","Data not available","Pending","None","None","None","None","None","None","None","Name not available","Name not available","van den Berg, A. J."
2019,"Dalal v. United Arab Emirates","United Arab Emirates - United Kingdom BIT (1992)","ICSID","ICSID","Investment: Investments in the form of deposits to reserve three island plots of a man-made island project offshore from Dubai called ƒ??The Worldƒ?, developed by Nakheel PJSC and The World LLC.                        Summary:","Investments in the form of deposits to reserve three island plots of a man-made island project offshore from Dubai called ƒ??The Worldƒ?, developed by Nakheel PJSC and The World LLC.","Pending","United Arab Emirates","0.863","United Kingdom","0.922","Tertiary: L - Real estate activities","68 - Real estate activities","FernÇ­ndez-Armesto, J. - PresidentAlexandrov, S. A. - ClaimantLandau, T. - Respondent","15.50","Null","Data not available","Pending","None","None","None","None","None","None","None","FernÇ­ndez-Armesto, J.","Landau, T.","Alexandrov, S. A."
2019,"DÇðaz Gaspar v. Costa Rica","Costa Rica - Spain BIT (1997)","ICSID","ICSID","Investment: Investments in IbÇ¸rico SA, a local food processing company.                        Summary: Claims arising out of a series of alleged measures by Government agencies against the claimantƒ??s company, including the forced closure of IbÇ¸ricoƒ??s food production facilities, the revocation of related permits and the initiation of bankruptcy proceedings.","Investments in IbÇ¸rico SA, a local food processing company.","Pending","Costa Rica","0.794","Spain","0.891","Secondary: C - Manufacturing","10 - Manufacture of food products","Mourre, A. - PresidentJimÇ¸nez, A. E. - ClaimantGonzÇ­lez GarcÇða, L. - Respondent","101.00","Null","Data not available","Pending","None","None","None","None","None","None","None","Mourre, A.","GonzÇ­lez GarcÇða, L.","JimÇ¸nez, A. E."
2019,"Enel Fortuna v. Panama","Italy - Panama BIT (2009)","ICSID","ICSID","Investment: Investments in the operation of a 300 megawatt hydroelectric power plant located on the ChiriquÇð River, in southwestern Panama.                        Summary: Claims arising out of the Governmentƒ??s delay in the construction of electricity transmission infrastructure and the suspension of compensation payments due to the claimant under a 2014 agreement with the Ministry of Economy and Finance, related to local court proceedings brought by the national comptroller general contesting the constitutionality of the compensation agreement.","Investments in the operation of a 300 megawatt hydroelectric power plant located on the ChiriquÇð River, in southwestern Panama.","Pending","Panama","0.789","Panama","0.789","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Data not available","12.50","Null","Data not available","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2019,"Impresa Pizzarotti v. Morocco","Italy - Morocco BIT (1990)","ICSID","ICSID","Investment: Investments in the construction of a road tunnel in Rabat as part of a joint venture (Pizzarotti & Alpi De Co).                        Summary: Claims arising out of a Government agencyƒ??s alleged failure to pay the claimant the full amounts for the completed construction of the Oudayas tunnel in 2011 and to compensate the claimant for undue penalties imposed for construction delays. According to the claimant, the project time and costs increased due to the agencyƒ??s misrepresentation of the project during the international tender process.","Investments in the construction of a road tunnel in Rabat as part of a joint venture (Pizzarotti & Alpi De Co).","Pending","Morocco","0.667","Italy","0.88","Tertiary: F - Construction","42 - Civil engineering","Name not available - PresidentBrower, C. N. - ClaimantHeiskanen, V. - Respondent","55.80","Null","Data not available","Pending","None","None","None","None","None","None","None","Name not available","Heiskanen, V.","Brower, C. N."
2019,"Kenon and IC Power v. Peru","Peru - Singapore FTA (2008)","ICSID","ICSID","Investment: Shareholding in Kallpa GeneraciÇün S.A. and Samay I S.A., local electric energy companies.                        Summary: Claims arising out of a regulatory agencyƒ??s withdrawal of an exclusive right the local subsidiary Kallpa had been awarded through a bid procedure in 2016 to provide a service related to the frequency of the power generation system, as well as changes to the calculation of transmission line tolls for energy generators, allegedly benefitting state-owned electricity companies to the claimantsƒ?? detriment.","Shareholding in Kallpa GeneraciÇün S.A. and Samay I S.A., local electric energy companies.","Pending","Peru","0.75","Singapore","0.932","Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Name not available - PresidentHaigh, D. - ClaimantName not available - Respondent","150.00","Null","Data not available","Pending","None","None","None","None","None","None","None","Name not available","Name not available","Haigh, D."
2019,"Legacy Vulcan v. Mexico","NAFTA (1992)","ICSID","ICSID","Investment: Concessions for a port terminal and authorizations for two lime extraction plants (ƒ??La Adelitaƒ? and ƒ??El Corchalitoƒ?) held by its local subsidiary, Calizas Industriales de Carmes, S.A. de C.V (ƒ??Calicaƒ?).                        Summary: Claims arising out of Government agenciesƒ?? revocation of the port concession held by the claimantƒ??s wholly-owned subsidiary, Calica, and the forced closure of Calicaƒ??s quarrying operations at the ƒ??La Adelitaƒ? and ƒ??El Corchalitoƒ? sites in the State of Quintana Roo. According to the claimant, these events were preceded Government agenciesƒ?? unilateral amendments to agreements with Calica and the imposition of allegedly illegal taxes, contested by Calica in several local court cases.","Concessions for a port terminal and authorizations for two lime extraction plants (ƒ??La Adelitaƒ? and ƒ??El Corchalitoƒ?) held by its local subsidiary, Calizas Industriales de Carmes, S.A. de C.V (ƒ??Calicaƒ?).","Pending","Mexico","0.774","United States","0.924","Primary: B - Mining and quarrying","8 - Other mining and quarrying","Name not available - PresidentTawil, G. S. - ClaimantPuig, S. - Respondent","500.00","Null","National treatmentMost-favoured nation treatmentFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarIndirect expropriation","Pending","None","None","None","None","None","None","None","Name not available","Puig, S.","Tawil, G. S."
2019,"Odyssey v. Mexico","NAFTA (1992)","UNCITRAL","None","Investment: Seabed mining concession for a phosphate deposit in the Pacific Ocean held by Exploraciones OceÇ­nicas S. de R.L. de C.V., a local subsidiary of the claimants.                        Summary: Claims arising out of the decision by Mexicoƒ??s Ministry of the Environment and Natural Resources to deny environmental permits for the claimantsƒ?? seabed mining project in the local subsidiaryƒ??s concession area, offshore from the coast of Baja California Sur in Mexico. Allegedly, the Ministryƒ??s decision disregarded scientific evidence provided by the claimants in their project development plan and environmental impact assessment.","Seabed mining concession for a phosphate deposit in the Pacific Ocean held by Exploraciones OceÇ­nicas S. de R.L. de C.V., a local subsidiary of the claimants.","Pending","Mexico","0.774","United States","0.924","Primary: B - Mining and quarrying","8 - Other mining and quarrying","Data not available","3540.00","Null","National treatmentFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarIndirect expropriation","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2019,"Petroceltic v. Egypt","Egypt - United Kingdom BIT (1975)","ICSID","ICSID","Investment: Hydrocarbon concessions for the onshore Nile Delta, operated through the Mansoura Petroleum Company, a joint venture with the Egyptian Government.                        Summary: Claims arising out of the alleged failure of the Egyptian General Petroleum Company, a state-owned company, to pay debts owed to the claimants under gas sales agreements.","Hydrocarbon concessions for the onshore Nile Delta, operated through the Mansoura Petroleum Company, a joint venture with the Egyptian Government.","Pending","Egypt","0.696","United Kingdom","0.922","Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","Data not available","30.00","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresUmbrella clause","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2019,"Range Resources v. Georgia","The Energy Charter Treaty (1994)","Data not available","Data not available","Investment: Indirect interest in a production sharing contract for an oil and gas project (ƒ??block VIAƒ?) in Georgia through a 65% shareholding in Strait Oil and Gas Limited.                        Summary: Claims arising out of the Governmentƒ??s alleged wrongful termination of a production sharing contract with Strait Oil and Gas Limited for ƒ??block VIAƒ?, an oil and gas project in Georgia in which the claimant held an indirect interest.","Indirect interest in a production sharing contract for an oil and gas project (ƒ??block VIAƒ?) in Georgia through a 65% shareholding in Strait Oil and Gas Limited.","Pending","Georgia","0.78","Australia","0.939","Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","Data not available","21.90","Null","Data not available","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2019,"Russian Fund v. Lithuania","Lithuania - Russian Federation BIT (1999)","UNCITRAL","Data not available","Investment: Majority shareholding (68% of shares held by Vladimir Antonov) in Bankas Snoras, a now defunct Lithuanian bank.                        Summary: Claims arising out of the nationalization of Snoras bank in 2011 related to purported insolvency risks and suspected criminal activity, and the bankƒ??s ensuing liquidation.","Majority shareholding (68% of shares held by Vladimir Antonov) in Bankas Snoras, a now defunct Lithuanian bank.","Pending","Lithuania","0.858","Russian Federation","0.816","Tertiary: K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding","Data not available","300.00","Null","Data not available","Pending","None","None","None","None","None","None","None","NA","NA","NA"
2019,"Scholz Holding v. Morocco","Germany - Morocco BIT (2001)","ICSID","ICSID","Investment: Shareholding of 60 per cent in a local subsidiary, Scholz Metall Marokko S.A.R.L., processing scrap metal for export in Skhirat, north of Casablanca.                        Summary: Claims arising out of the Governmentƒ??s alleged ban on the export of processed scrap metal to the EU and a ban on the import of certain steel, allegedly targeting the steel processing operations of the claimantƒ??s local subsidiary in favour of a local competitor.","Shareholding of 60 per cent in a local subsidiary, Scholz Metall Marokko S.A.R.L., processing scrap metal for export in Skhirat, north of Casablanca.","Pending","Morocco","0.667","Germany","0.936","Secondary: C - Manufacturing","24 - Manufacture of basic metals","Mourre, A. - PresidentZiadÇ¸, N. - ClaimantDouglas, Z. - Respondent","68.30","Null","Data not available","Pending","None","None","None","None","None","None","None","Mourre, A.","Douglas, Z.","ZiadÇ¸, N."
2019,"SchÇônberger v. Tajikistan","Austria - Tajikistan BIT (2010)","ICSID AF","ICSID","Investment: Cotton purchase agreements signed by the claimantƒ??s company incorporated in Hong Kong, Super Perfect Investments Limited, with Tajik company Levakan-M.                        Summary: Claims arising out of a local bankƒ??s non-payment of bank guarantees to the claimant, allegedly refusing to honour a commercial arbitration award in the claimantƒ??s favour. According to the claimant, Agroinvestbank was involved as a guarantor in a transaction under a cotton purchase contract between the claimantƒ??s company and a Tajik company, which had failed to deliver the purchased goods and to return money paid by the claimant.","Cotton purchase agreements signed by the claimantƒ??s company incorporated in Hong Kong, Super Perfect Investments Limited, with Tajik company Levakan-M.","Pending","Tajikistan","0.65","Austria","0.908","Primary: A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities","Name not available - PresidentWebster, T. - ClaimantName not available - Respondent","19.60","Null","Data not available","Pending","None","None","None","None","None","None","None","Name not available","Name not available","Webster, T."
2019,"Seda and others v. Colombia","Colombia - United States TPA (2006)","ICSID","ICSID","Investment: Investments in the construction of ƒ??Meritageƒ?, a luxury real estate development project on a 560,000 square meters site in the city of MedellÇðn.                        Summary: Claims arising out of the Governmentƒ??s seizure of property acquired by the Royal Development Group and the suspension of construction works for the claimantsƒ?? ƒ??Meritageƒ? real estate project on this property, as a result of claims that previous owners used it for criminal activity.","Investments in the construction of ƒ??Meritageƒ?, a luxury real estate development project on a 560,000 square meters site in the city of MedellÇðn.","Pending","Colombia","0.747","United States","0.924","Tertiary: F - Construction","41 - Construction of buildings","Low, L. A. - Claimant (replaced)Poncet, C. - ClaimantPerezcano Diaz, H. - RespondentName not available - President","250.00","Null","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsDirect expropriation","Pending","None","None","None","None","None","None","None","Name not available","Perezcano Diaz, H.","Poncet, C."
2019,"Skubenko and others v. North Macedonia","North Macedonia - Ukraine BIT (1998)","ICSID","ICSID","Investment: Shareholding in locally-incorporated mining company Copper Investments JSC and subsidiary company Sardich MC, holding three mining concessions for the Kazandol, Petroshnitsa and Plavush deposits.                        Summary: Claims arising out of the Governmentƒ??s termination in March 2018 of the claimantsƒ?? concession for the exploitation of copper, gold and silver at the Kazandol deposit in southern Macedonia, allegedly related to environmental concerns.","Shareholding in locally-incorporated mining company Copper Investments JSC and subsidiary company Sardich MC, holding three mining concessions for the Kazandol, Petroshnitsa and Plavush deposits.","Pending","North Macedonia","0.757","Ukraine","0.751","Primary: B - Mining and quarrying","7 - Mining of metal ores","Malek, A. - PresidentAlexandrov, S. A. - ClaimantPaulsson, J. - Respondent","423.30","Null","Data not available","Pending","None","None","None","None","None","None","None","Malek, A.","Paulsson, J.","Alexandrov, S. A."
