"Year of initiation","Short case name","Applicable IIA","Arbitral rules","Administering institution","Summary","Details of investment","Outcome of original proceedings","Respondent State","hDIResp","Home State of investor","hDIClaim","Economic sector","Economic subsector","Arbitrators","amountClaimed","amountAwarded","Breaches alleged","Breaches found","Decisions","Individual opinions","Follow-on proceeding type","Follow-on proceeding status","Follow-on decisions","Follow-on individual opinions","ICSID annulment committee members","aPresidentC","aRespondentC","aClaimantC","damagesRatio"
1997,"Maffezini v. Spain","Argentina - Spain BIT (1991)","ICSID","ICSID","Investment: Shareholding in company engaged in the production and distribution of chemical products in the Spanish region of Galicia.                        Summary: Claims arising out of the discontinuance of the company's activities due to an internal financial crisis allegedly attributed to Spain, including allegations of misinforming the claimant on the costs of the project and involving alleged unauthorized bank transfers.","Shareholding in company engaged in the production and distribution of chemical products in the Spanish region of Galicia.","Decided in favour of investor","Spain",0.891,"Argentina",0.825,"Secondary: C - Manufacturing","20 - Manufacture of chemicals and chemical products","Orrego VicuÃƒâ€¡ÃƒÂ±a, F. - PresidentBuergenthal, T. - ClaimantWolf, M. - Respondent",0,0.15,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsTransfer of fundsOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsOther","Decision of the Tribunal on Objections to Jurisdiction dated 25 January 2000Award dated 13 November 2000","None","None","None","None","None","None","Orrego VicuÃƒâ€¡ÃƒÂ±a, F.","Wolf, M.","Buergenthal, T.","0"
1999,"Mitchell v. Congo","Congo, Democratic Republic of the - United States of America BIT (1984)","ICSID","ICSID","Investment: Ownership of local legal consulting firm.                        Summary: Claims arising out of the seizure by Congolese military forces of the premises of Mr. Mitchell's legal consulting firm, in which documents qualified as compromising and other items were seized and the employees of the firm were forced to leave the premises.","Ownership of local legal consulting firm.","Decided in favour of investor","Congo (Democratic Republic of the)",0.457,"United States",0.924,"Tertiary: M - Professional, scientific and technical activities","69 - Legal and accounting activities","Bucher, A. - PresidentLalonde, M. - ClaimantEstey, W. Z. - Claimant (replaced)Agboyibo, Y. - Respondent",0,0.75,"Direct expropriation","Direct expropriation","Final Award dated 9 February 2004","Dissenting Opinion by Yawovi Agboyibo (Final Award)","ICSID annulment proceedings","Award/decision annulled in its entirety (ICSID annulment proceedings)","Decision on the Application for Annulment of the Award dated 1 November 2006 (ICSID annulment proceedings)","None","Dimolitsa, A. - PresidentDossou, R. - MemberGiardina, A. - Member","Bucher, A.","Agboyibo, Y.","Lalonde, M.","0"
2013,"De Sutter and others v. Madagascar (I)","BLEU (Belgium-Luxembourg Economic Union) - Madagascar BIT (2005)","ICC","ICC","Investment: Ownership and operation of a textile factory by the local company Polo Garments Majunga, which is (directly and indirectly) owned by Peter and Kristof De Sutter.                        Summary: Claims arising out of the Attorney-GeneralÃ†â€™??s intervention in a local court case, which allegedly led to the halting of the enforcement of a claim against the Madagascan insurer Ny Havana. Polo Garments Majunga had commenced enforcement proceedings to collect an insurance payout from Ny Havana for a burned down textiles factory.","Ownership and operation of a textile factory by the local company Polo Garments Majunga, which is (directly and indirectly) owned by Peter and Kristof De Sutter.","Decided in favour of investor","Madagascar",0.519,"Belgium",0.916,"Secondary: C - Manufacturing","13 - Manufacture of textiles","Legum, B. - Sole arbitrator",0,0.9,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Award dated 29 August 2014","None","Judicial review by national courtsJudicial review by national courts","Award/decision set aside in its entirety (Judicial review by national courts)Award/decision set aside in its entirety (Judicial review by national courts)","Judgment of Paris Court of Appeal dated 15 March 2016 (Judicial review by national courts)Judgment of the French Court of Cassation dated 1 June 2017 (Judicial review by national courts)","None","None",NA,NA,NA,"0"
2009,"UAB v. Serbia","Lithuania - Serbia BIT (2005)Lithuania - Montenegro BIT (2005)","ICSID","ICSID","Investment: Shareholding in the Serbian fertiliser manufacturer HIP Azatora acquired under certain privatisation agreement concluded between the Government and a Serbian investor.                        Summary: Claims arising out of the alleged expropriation of claimants' shares in a Serbian fertilizer company.","Shareholding in the Serbian fertiliser manufacturer HIP Azatora acquired under certain privatisation agreement concluded between the Government and a Serbian investor.","Decided in favour of investor","Serbia",0.787,"Lithuania",0.858,"Secondary: C - Manufacturing","20 - Manufacture of chemicals and chemical products","Buergenthal, T. - PresidentBrower, C. N. - ClaimantVarady, T. - Respondent",0,1.1,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 16 March 2015","Separate Opinion","None","None","None","None","None","Buergenthal, T.","Varady, T.","Brower, C. N.","0"
2012,"UAB v. Latvia","Latvia - Lithuania BIT (1996)","ICSID","ICSID","Investment: Rights under a 30-year lease agreement concluded between the claimant and the local authority of Rezekne to review, upgrade and operate a heating supply system.                        Summary: Claims arising out of the early termination of a lease agreement by the authorities of Rezekne, followed by the alleged nationalization of a heating and hot water supply system in which the claimant had invested.","Rights under a 30-year lease agreement concluded between the claimant and the local authority of Rezekne to review, upgrade and operate a heating supply system.","Decided in favour of investor","Latvia",0.847,"Lithuania",0.858,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Patocchi, P. M. - PresidentWordsworth, S. - ClaimantReinisch, A. - Respondent",0,1.9,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measuresMost-favoured nation treatment","Arbitrary, unreasonable and/or discriminatory measures","Award dated 22 December 2017","Dissenting Opinion on Costs of August Reinisch","ICSID annulment proceedings","Pending (ICSID annulment proceedings)","None","None","Malintoppi, L. - PresidentBastid Burdeau, G. - MemberKhan, M. A. - Member","Patocchi, P. M.","Reinisch, A.","Wordsworth, S.","0"
2013,"OKKV v. Kyrgyzstan","CIS Investor Rights Convention (1997)","MCCI","MCCI","Investment: Rights to use land and monetary contributions towards building a tourist complex.                        Summary: Claims arising out of the alleged expropriation of a project to build a cultural and accommodation centre on the shores of Issyk Kul, known as the Avrora Green resort and residential complex.","Rights to use land and monetary contributions towards building a tourist complex.","Decided in favour of investor","Kyrgyzstan",0.672,"Kazakhstan",0.8,"Tertiary: F - Construction","41 - Construction of buildings","Vilkova, N. - PresidentAvtonomov, A. S. - UnknownSavransky, M. Y. - Unknown",0,2.3,"Indirect expropriation","Indirect expropriation","Award dated 21 November 2013","None","Judicial review by national courts","Award/decision set aside in its entirety (Judicial review by national courts)","Judgment of the Moscow Arbitrazh Court on Application to Set Aside Award dated 23 June 2014 (Judicial review by national courts)Second Judgment of the Moscow Arbitration Court on Application to Set Aside Award dated 19 November 2014 (Judicial review by national courts)","None","None","Vilkova, N.",NA,NA,"0"
2011,"Arif v. Moldova","France - Moldova, Republic of BIT (1997)","ICSID","ICSID","Investment: Ownership of the Moldovan company Le Bridge, which had won a tender to set up and run a network of five duty free stores at the border with Romania; rights under related lease agreements; construction of four duty free stores; related authorizations and licenses.                        Summary: Claims arising out of the alleged Government interference in the investor's duty-free business at Chisinau Airport and at five border stores with Romania which delayed or prevented the opening of such duty free stores.","Ownership of the Moldovan company Le Bridge, which had won a tender to set up and run a network of five duty free stores at the border with Romania; rights under related lease agreements; construction of four duty free stores; related authorizations and licenses.","Decided in favour of investor","Moldova (Republic of)",0.7,"France",0.901,"Tertiary: G - Wholesale and retail trade; repair of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles","Cremades, B. M. - PresidentHanotiau, B. - ClaimantKnieper, R. - Respondent",0,2.7,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseNational treatmentArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Award dated 8 April 2013","None","None","None","None","None","None","Cremades, B. M.","Knieper, R.","Hanotiau, B.","0"
2011,"Gamesa v. Syria","Spain - Syrian Arab Republic BIT (2003)","UNCITRAL","PCA","Investment: Investments in the Qatineh wind farm project near the city of Homs.                        Summary: Claims arising out of the GovernmentÃ†â€™??s alleged call upon a bank guarantee posted by the claimant in relation to a project to build a wind farm in Syria as part of tender documentation. The claimant won the tender, but has not continued with the project due to the outbreak of civil conflict in Syria, and the subsequent imposition of sanctions by the European Union.","Investments in the Qatineh wind farm project near the city of Homs.","Decided in favour of investor","Syrian Arab Republic",0.536,"Spain",0.891,"Tertiary: D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Fortier, L. Y. - PresidentWallgren-Lindholm, C. - ClaimantKemicha, F. - Respondent",0,6.3,"Data not available","Data not available","Award dated 5 February 2014","None","None","None","None","None","None","Fortier, L. Y.","Kemicha, F.","Wallgren-Lindholm, C.","0"
2010,"Awdi v. Romania","Romania - United States of America BIT (1992)","ICSID","ICSID","Investment: Majority shareholding in a press distribution company that held a concession to operate kiosks across Romania; ownership of a historical building in the centre of Bucharest serving as boutique hotel and restaurant.                        Summary: Claims arising out of the Government's alleged failure to protect claimants' press distribution and boutique hotel investments, following a decision issued by the Romanian Constitutional Court declaring a law that guaranteed claimants' investment as unconstitutional.","Majority shareholding in a press distribution company that held a concession to operate kiosks across Romania; ownership of a historical building in the centre of Bucharest serving as boutique hotel and restaurant.","Decided in favour of investor","Romania",0.811,"United States",0.924,"Tertiary: J - Information and communicationTertiary: L - Real estate activities","58 - Publishing activities68 - Real estate activities","Bernardini, P. - PresidentGharavi, H. G. - ClaimantDolzer, R. - Respondent",0,8.6,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measuresOther","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Decision on the Admissibility of the Respondent's Third Objection to Jurisdiction and Admissibility of Claimants' Claims dated 26 July 2013Award dated 2 March 2015","None","None","None","None","None","None","Bernardini, P.","Dolzer, R.","Gharavi, H. G.","0"
1996,"Biedermann v. Kazakhstan","Kazakhstan - United States of America BIT (1992)","SCC","SCC","Investment: Oil concession agreement to develop the Kenbai field in the Atyrau region.                        Summary: Claims arising out of the Government's termination of an oil concession agreement entered into with the claimant.","Oil concession agreement to develop the Kenbai field in the Atyrau region.","Decided in favour of investor","Kazakhstan",0.8,"United States",0.924,"Primary: B - Mining and quarrying","6 - Extraction of crude petroleum and natural gas","Data not available",0,8.9,"Indirect expropriation","Indirect expropriation","Award dated 2 August 1999","None","None","None","None","None","None",NA,NA,NA,"0"
